"Plot Title: 20965820 - Midden"
"#","Date Time, GMT+02:00","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Blue - Air)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Brown - leaf)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Surface)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Tissue)"
1,05/07/21 01:47:45 PM,1.32376,1.39075,1.33185,1.31613
2,05/07/21 01:47:46 PM,1.32044,1.39151,1.33276,1.31483
3,05/07/21 01:47:47 PM,1.31998,1.39143,1.33406,1.31647
4,05/07/21 01:47:48 PM,1.32235,1.39258,1.33551,1.32059
5,05/07/21 01:47:49 PM,1.32330,1.39319,1.33696,1.31365
6,05/07/21 01:47:50 PM,1.31037,1.39132,1.33547,1.29839
7,05/07/21 01:47:51 PM,1.30358,1.38964,1.33467,1.29450
8,05/07/21 01:47:52 PM,1.30072,1.38838,1.33513,1.29557
9,05/07/21 01:47:53 PM,1.30117,1.38724,1.33482,1.29744
10,05/07/21 01:47:54 PM,1.30327,1.38724,1.33341,1.29923
11,05/07/21 01:47:55 PM,1.30663,1.38773,1.33288,1.30186
12,05/07/21 01:47:56 PM,1.30980,1.38842,1.33158,1.30510
13,05/07/21 01:47:57 PM,1.31273,1.39010,1.33101,1.30613
14,05/07/21 01:47:58 PM,1.31418,1.39220,1.33104,1.30655
15,05/07/21 01:47:59 PM,1.31655,1.39441,1.33192,1.30564
16,05/07/21 01:48:00 PM,1.31525,1.39605,1.33288,1.30518
17,05/07/21 01:48:01 PM,1.31704,1.39704,1.33330,1.30858
18,05/07/21 01:48:02 PM,1.32052,1.39837,1.33417,1.31518
19,05/07/21 01:48:03 PM,1.32643,1.40051,1.33619,1.32616
20,05/07/21 01:48:04 PM,1.33513,1.40311,1.33906,1.33871
21,05/07/21 01:48:05 PM,1.34550,1.40612,1.34195,1.34501
22,05/07/21 01:48:06 PM,1.34775,1.40818,1.34398,1.34585
23,05/07/21 01:48:07 PM,1.34855,1.41054,1.34596,1.34726
24,05/07/21 01:48:08 PM,1.34310,1.41299,1.34752,1.33848
25,05/07/21 01:48:09 PM,1.33722,1.41444,1.34852,1.33139
26,05/07/21 01:48:10 PM,1.33574,1.41547,1.34951,1.33242
27,05/07/21 01:48:11 PM,1.33772,1.41737,1.35031,1.32677
28,05/07/21 01:48:12 PM,1.33146,1.41749,1.35019,1.32200
29,05/07/21 01:48:13 PM,1.33787,1.41867,1.35134,1.32971
30,05/07/21 01:48:14 PM,1.33558,1.41962,1.35145,1.32486
31,05/07/21 01:48:15 PM,1.32799,1.41909,1.34882,1.31754
32,05/07/21 01:48:16 PM,1.32277,1.41802,1.34638,1.31479
33,05/07/21 01:48:17 PM,1.32269,1.41821,1.34512,1.31228
34,05/07/21 01:48:18 PM,1.32441,1.41764,1.34344,1.30892
35,05/07/21 01:48:19 PM,1.32635,1.41718,1.34199,1.31224
36,05/07/21 01:48:20 PM,1.32208,1.41638,1.34070,1.31006
37,05/07/21 01:48:21 PM,1.32303,1.41543,1.34138,1.31395
38,05/07/21 01:48:22 PM,1.32532,1.41604,1.34154,1.31739
39,05/07/21 01:48:23 PM,1.33108,1.41714,1.34253,1.32456
40,05/07/21 01:48:24 PM,1.33616,1.41863,1.34390,1.32784
41,05/07/21 01:48:25 PM,1.34024,1.41951,1.34539,1.33520
42,05/07/21 01:48:26 PM,1.34836,1.42092,1.34775,1.34592
43,05/07/21 01:48:27 PM,1.35851,1.42348,1.35016,1.35328
44,05/07/21 01:48:28 PM,1.35706,1.42569,1.35191,1.34989
45,05/07/21 01:48:29 PM,1.34363,1.42542,1.35252,1.33703
46,05/07/21 01:48:30 PM,1.33341,1.42260,1.35283,1.32826
47,05/07/21 01:48:31 PM,1.32471,1.41875,1.35203,1.31868
48,05/07/21 01:48:32 PM,1.31724,1.41512,1.35084,1.30571
49,05/07/21 01:48:33 PM,1.31315,1.41257,1.34855,1.30110
50,05/07/21 01:48:34 PM,1.31277,1.41123,1.34653,1.30114
51,05/07/21 01:48:35 PM,1.31495,1.41047,1.34459,1.30472
52,05/07/21 01:48:36 PM,1.31697,1.40925,1.34436,1.31266
53,05/07/21 01:48:37 PM,1.32853,1.40951,1.34546,1.32761
54,05/07/21 01:48:38 PM,1.34108,1.41119,1.34733,1.33886
55,05/07/21 01:48:39 PM,1.34874,1.41291,1.34913,1.33909
56,05/07/21 01:48:40 PM,1.34924,1.41459,1.35039,1.34329
57,05/07/21 01:48:41 PM,1.35222,1.41508,1.35119,1.34001
58,05/07/21 01:48:42 PM,1.33883,1.41405,1.35019,1.32261
59,05/07/21 01:48:43 PM,1.32937,1.41169,1.34852,1.31498
60,05/07/21 01:48:44 PM,1.32689,1.41032,1.34802,1.31449
